Predicted_X,Predicted_Y,Z_HW_elev,Z_FW_elev
418381.47,337624.75,,
418591.34,337624.75,,
418801.2,337624.75,,
419011.06,337624.75,,
419220.94,337624.75,,
419430.78,337624.75,,
419640.66,337624.75,,
419850.5,337624.75,,
420060.38,337624.75,,
420270.25,337624.75,,
420480.1,337624.75,,
420689.97,337624.75,,
420899.84,337624.75,,
421109.7,337624.75,,
421319.56,337624.75,,
421529.4,337624.75,,
421739.28,337624.75,,
421949.16,337624.75,,
422159.0,337624.75,,
422368.88,337624.75,,
422578.72,337624.75,,
422788.6,337624.75,,
422998.47,337624.75,,
423208.3,337624.75,,
423418.2,337624.75,,
423628.06,337624.75,,
423837.9,337624.75,332.0,80.0
424047.78,337624.75,332.0,80.0
424257.62,337624.75,320.0,80.0
424467.5,337624.75,320.0,80.0
424677.38,337624.75,320.0,80.0
424887.22,337624.75,320.0,80.0
425097.1,337624.75,320.0,80.0
425306.94,337624.75,320.0,80.0
425516.8,337624.75,308.0,80.0
425726.7,337624.75,308.0,80.0
425936.53,337624.75,308.0,80.0
426146.4,337624.75,308.0,80.0
426356.28,337624.75,308.0,80.0
426566.12,337624.75,296.0,80.0
426776.0,337624.75,296.0,92.0
426985.84,337624.75,296.0,92.0
427195.72,337624.75,284.0,92.0
427405.6,337624.75,284.0,92.0
427615.44,337624.75,284.0,92.0
427825.3,337624.75,272.0,92.0
428035.16,337624.75,272.0,92.0
428245.03,337624.75,260.0,92.0
428454.9,337624.75,260.0,92.0
428664.75,337624.75,248.0,104.0
428874.62,337624.75,,
429084.5,337624.75,,
429294.34,337624.75,,
429504.22,337624.75,,
429714.06,337624.75,,
429923.94,337624.75,,
430133.8,337624.75,,
430343.66,337624.75,,
430553.53,337624.75,,
430763.38,337624.75,,
430973.25,337624.75,,
431183.12,337624.75,,
431392.97,337624.75,,
431602.84,337624.75,,
431812.72,337624.75,,
432022.56,337624.75,,
432232.44,337624.75,,
432442.28,337624.75,,
432652.16,337624.75,,
432862.03,337624.75,,
433071.88,337624.75,,
433281.75,337624.75,,
433491.6,337624.75,,
433701.47,337624.75,,
433911.34,337624.75,,
434121.2,337624.75,,
434331.06,337624.75,,
434540.94,337624.75,,
434750.78,337624.75,,
434960.66,337624.75,,
435170.5,337624.75,,
435380.38,337624.75,,
435590.25,337624.75,,
435800.1,337624.75,,
436009.97,337624.75,,
436219.8,337624.75,,
436429.7,337624.75,,
436639.56,337624.75,,
436849.4,337624.75,,
437059.28,337624.75,,
437269.16,337624.75,,
437479.0,337624.75,,
437688.88,337624.75,,
437898.72,337624.75,,
438108.6,337624.75,,
438318.47,337624.75,,
438528.3,337624.75,,
438738.2,337624.75,,
438948.03,337624.75,,
439157.9,337624.75,,
439367.78,337624.75,,
439577.62,337624.75,,
439787.5,337624.75,,
439997.38,337624.75,,
440207.22,337624.75,,
440417.1,337624.75,,
440626.94,337624.75,,
440836.8,337624.75,,
441046.7,337624.75,,
441256.53,337624.75,,
441466.4,337624.75,,
441676.25,337624.75,,
441886.12,337624.75,,
442096.0,337624.75,,
442305.84,337624.75,,
442515.72,337624.75,,
442725.6,337624.75,,
442935.44,337624.75,,
443145.3,337624.75,,
443355.16,337624.75,,
443565.03,337624.75,,
443774.9,337624.75,,
443984.75,337624.75,,
444194.62,337624.75,,
444404.47,337624.75,,
444614.34,337624.75,,
444824.22,337624.75,,
445034.06,337624.75,,
445243.94,337624.75,,
445453.8,337624.75,,
445663.66,337624.75,,
445873.53,337624.75,,
446083.38,337624.75,,
446293.25,337624.75,,
446503.12,337624.75,,
446712.97,337624.75,,
446922.84,337624.75,,
447132.7,337624.75,,
447342.56,337624.75,,
447552.44,337624.75,,
447762.28,337624.75,,
447972.16,337624.75,,
448182.03,337624.75,,
448391.88,337624.75,,
448601.75,337624.75,,
448811.6,337624.75,,
449021.47,337624.75,,
449231.34,337624.75,,
449441.2,337624.75,,
449651.06,337624.75,,
449860.9,337624.75,,
450070.78,337624.75,,
450280.66,337624.75,,
450490.5,337624.75,,
450700.38,337624.75,,
450910.25,337624.75,,
451120.1,337624.75,,
451329.97,337624.75,,
451539.8,337624.75,,
451749.7,337624.75,,
451959.56,337624.75,,
452169.4,337624.75,,
452379.28,337624.75,,
452589.12,337624.75,,
452799.0,337624.75,,
453008.88,337624.75,,
453218.72,337624.75,,
453428.6,337624.75,,
453638.47,337624.75,,
453848.3,337624.75,,
454058.2,337624.75,,
454268.03,337624.75,,
454477.9,337624.75,,
454687.78,337624.75,,
454897.62,337624.75,,
455107.5,337624.75,,
455317.34,337624.75,,
455527.22,337624.75,,
455737.1,337624.75,,
455946.94,337624.75,,
456156.8,337624.75,,
456366.7,337624.75,,
456576.53,337624.75,,
456786.4,337624.75,,
456996.25,337624.75,,
457206.12,337624.75,,
457416.0,337624.75,,
457625.84,337624.75,,
457835.72,337624.75,,
458045.6,337624.75,,
458255.44,337624.75,,
458465.3,337624.75,,
458675.16,337624.75,,
458885.03,337624.75,,
459094.9,337624.75,,
459304.75,337624.75,,
459514.62,337624.75,,
459724.47,337624.75,,
459934.34,337624.75,,
460144.22,337624.75,,
418381.47,337827.38,,
418591.34,337827.38,,
418801.2,337827.38,,
419011.06,337827.38,,
419220.94,337827.38,,
419430.78,337827.38,,
419640.66,337827.38,,
419850.5,337827.38,,
420060.38,337827.38,,
420270.25,337827.38,,
420480.1,337827.38,,
420689.97,337827.38,,
420899.84,337827.38,,
421109.7,337827.38,,
421319.56,337827.38,,
421529.4,337827.38,,
421739.28,337827.38,,
421949.16,337827.38,,
422159.0,337827.38,,
422368.88,337827.38,,
422578.72,337827.38,,
422788.6,337827.38,,
422998.47,337827.38,,
423208.3,337827.38,,
423418.2,337827.38,,
423628.06,337827.38,,
423837.9,337827.38,332.0,80.0
424047.78,337827.38,332.0,80.0
424257.62,337827.38,332.0,80.0
424467.5,337827.38,320.0,80.0
424677.38,337827.38,320.0,80.0
424887.22,337827.38,320.0,80.0
425097.1,337827.38,320.0,80.0
425306.94,337827.38,320.0,80.0
425516.8,337827.38,320.0,80.0
425726.7,337827.38,308.0,80.0
425936.53,337827.38,308.0,80.0
426146.4,337827.38,308.0,80.0
426356.28,337827.38,308.0,80.0
426566.12,337827.38,308.0,80.0
426776.0,337827.38,296.0,80.0
426985.84,337827.38,296.0,92.0
427195.72,337827.38,296.0,92.0
427405.6,337827.38,284.0,92.0
427615.44,337827.38,284.0,92.0
427825.3,337827.38,272.0,92.0
428035.16,337827.38,272.0,92.0
428245.03,337827.38,272.0,92.0
428454.9,337827.38,260.0,92.0
428664.75,337827.38,260.0,92.0
428874.62,337827.38,,
429084.5,337827.38,,
429294.34,337827.38,,
429504.22,337827.38,,
429714.06,337827.38,,
429923.94,337827.38,,
430133.8,337827.38,,
430343.66,337827.38,,
430553.53,337827.38,,
430763.38,337827.38,,
430973.25,337827.38,,
431183.12,337827.38,,
431392.97,337827.38,,
431602.84,337827.38,,
431812.72,337827.38,,
432022.56,337827.38,,
432232.44,337827.38,,
432442.28,337827.38,,
432652.16,337827.38,,
432862.03,337827.38,,
433071.88,337827.38,,
433281.75,337827.38,,
433491.6,337827.38,,
433701.47,337827.38,,
433911.34,337827.38,,
434121.2,337827.38,,
434331.06,337827.38,,
434540.94,337827.38,,
434750.78,337827.38,,
434960.66,337827.38,,
435170.5,337827.38,,
435380.38,337827.38,,
435590.25,337827.38,,
435800.1,337827.38,,
436009.97,337827.38,,
436219.8,337827.38,,
436429.7,337827.38,,
436639.56,337827.38,,
436849.4,337827.38,,
437059.28,337827.38,,
437269.16,337827.38,,
437479.0,337827.38,,
437688.88,337827.38,,
437898.72,337827.38,,
438108.6,337827.38,,
438318.47,337827.38,,
438528.3,337827.38,,
438738.2,337827.38,,
438948.03,337827.38,,
439157.9,337827.38,,
439367.78,337827.38,,
439577.62,337827.38,,
439787.5,337827.38,,
439997.38,337827.38,,
440207.22,337827.38,,
440417.1,337827.38,,
440626.94,337827.38,,
440836.8,337827.38,,
441046.7,337827.38,,
441256.53,337827.38,,
441466.4,337827.38,,
441676.25,337827.38,,
441886.12,337827.38,,
442096.0,337827.38,,
442305.84,337827.38,,
442515.72,337827.38,,
442725.6,337827.38,,
442935.44,337827.38,,
443145.3,337827.38,,
443355.16,337827.38,,
443565.03,337827.38,,
443774.9,337827.38,,
443984.75,337827.38,,
444194.62,337827.38,,
444404.47,337827.38,,
444614.34,337827.38,,
444824.22,337827.38,,
445034.06,337827.38,,
445243.94,337827.38,,
445453.8,337827.38,,
445663.66,337827.38,,
445873.53,337827.38,,
446083.38,337827.38,,
446293.25,337827.38,,
446503.12,337827.38,,
446712.97,337827.38,,
446922.84,337827.38,,
447132.7,337827.38,,
447342.56,337827.38,,
447552.44,337827.38,,
447762.28,337827.38,,
447972.16,337827.38,,
448182.03,337827.38,,
448391.88,337827.38,,
448601.75,337827.38,,
448811.6,337827.38,,
449021.47,337827.38,,
449231.34,337827.38,,
449441.2,337827.38,,
449651.06,337827.38,,
449860.9,337827.38,,
450070.78,337827.38,,
450280.66,337827.38,,
450490.5,337827.38,,
450700.38,337827.38,,
450910.25,337827.38,,
451120.1,337827.38,,
451329.97,337827.38,,
451539.8,337827.38,,
451749.7,337827.38,,
451959.56,337827.38,,
452169.4,337827.38,,
452379.28,337827.38,,
452589.12,337827.38,,
452799.0,337827.38,,
453008.88,337827.38,,
453218.72,337827.38,,
453428.6,337827.38,,
453638.47,337827.38,,
453848.3,337827.38,,
454058.2,337827.38,,
454268.03,337827.38,,
454477.9,337827.38,,
454687.78,337827.38,,
454897.62,337827.38,,
455107.5,337827.38,,
455317.34,337827.38,,
455527.22,337827.38,,
455737.1,337827.38,,
455946.94,337827.38,,
456156.8,337827.38,,
456366.7,337827.38,,
456576.53,337827.38,,
456786.4,337827.38,,
456996.25,337827.38,,
457206.12,337827.38,,
457416.0,337827.38,,
457625.84,337827.38,,
457835.72,337827.38,,
458045.6,337827.38,,
458255.44,337827.38,,
458465.3,337827.38,,
458675.16,337827.38,,
458885.03,337827.38,,
459094.9,337827.38,,
459304.75,337827.38,,
459514.62,337827.38,,
459724.47,337827.38,,
459934.34,337827.38,,
460144.22,337827.38,,
418381.47,338030.0,,
418591.34,338030.0,,
418801.2,338030.0,,
419011.06,338030.0,,
419220.94,338030.0,,
419430.78,338030.0,,
419640.66,338030.0,,
419850.5,338030.0,,
420060.38,338030.0,,
420270.25,338030.0,,
420480.1,338030.0,,
420689.97,338030.0,,
420899.84,338030.0,,
421109.7,338030.0,,
421319.56,338030.0,,
421529.4,338030.0,,
421739.28,338030.0,,
421949.16,338030.0,,
422159.0,338030.0,,
422368.88,338030.0,,
422578.72,338030.0,,
422788.6,338030.0,,
422998.47,338030.0,,
423208.3,338030.0,,
423418.2,338030.0,,
423628.06,338030.0,332.0,80.0
423837.9,338030.0,332.0,80.0
