split,R2_HW,RMSE_HW,MAE_HW,R2_FW,RMSE_FW,MAE_FW
train,0.9778608679771423,14.428449692273281,10.437137603759766,0.9884210228919983,21.223328850583265,15.305900573730469
test,0.7744045853614807,34.51202625252084,26.639240264892578,0.884819746017456,35.77054629750397,27.81398582458496
