Drillhole,Z_HW,Z_FW,ss_thickness,ss_encountered,X,Y,Z_g_earth,Longueur
PZ66,191.5,-13.5,205.0,1,433643.68,356001.8,450,574.7
PZ67,317.5,-70.5,388.0,1,431010.08,350507.84,441,564.08
PZ68,248.5,132.5,116.0,1,426896.02,352016.3,358,261.4
PZ7,257.5,-248.5,506.0,1,439450.0,355450.0,468,799.94
PZ70,180.5,-256.5,437.0,1,442632.27,360350.19,401,733.0
PZ71,295.5,-205.5,501.0,1,444584.21,359840.25,447,733.0
PZ72,213.5,-260.5,474.0,1,444357.8,358257.08,472,811.0
PZ73,253.5,-317.5,571.0,1,445120.93,356421.08,423,808.0
PZ74,163.5,-349.5,513.0,1,447128.34,360323.05,425,852.8
PZ75,210.5,-373.5,584.0,1,445295.3,354703.04,333,761.8
PZ76,283.5,-421.5,705.0,1,443724.6,354928.5,464,976.4
PZ77,185.5,-243.5,429.0,1,448196.59,358442.44,245,576.0
PZ78,166.5,-336.5,503.0,1,449605.75,359816.54,214,636.2
PZ79,237.5,-396.5,634.0,1,448737.26,361396.42,379,835.7
PZ8,281.5,-262.5,544.0,1,440530.0,356100.0,472,825.45
PZ80,3.5,-603.5,607.0,1,453522.39,359761.69,254,937.2
PZ81,117.5,-460.5,578.0,1,451433.3,359985.77,145,661.2
PZ82,122.5,-187.5,310.0,1,450806.07,358430.83,153,524.9
PZ83,142.5,-395.5,538.0,1,447757.01,362892.08,301,758.0
PZ84,161.5,-185.5,347.0,1,453835.56,355508.69,218,486.3
PZ85,124.5,-340.5,465.0,1,446026.84,361827.98,367,786.2
PZ86,73.5,-149.5,223.0,1,452176.66,354389.93,169,401.0
PZ87,73.5,-573.5,647.0,1,449282.62,364134.95,230,872.2
PZ88,-53.5,-496.5,443.0,1,452745.65,356416.05,193,777.0
PZ89,185.5,-11.5,197.0,1,440444.62,356197.0,469,777.0
PZ9,231.5,-272.5,504.0,1,438400.0,354750.0,462,825.65
PZ91,24.5,-410.5,435.0,1,448238.03,365732.36,266,740.4
PZ92,201.5,-369.5,571.0,1,442708.99,352843.08,343,802.8
PZ93,143.5,-492.5,636.0,1,450054.59,362677.75,320,887.4
PZ94,-16.5,-559.5,543.0,1,450054.59,367156.41,169,813.6
PZ95,80.5,-641.5,722.0,1,451511.02,362920.65,162,854.2
PZ96,297.5,-212.5,510.0,1,434819.75,353180.36,456,765.0
PZ97,160.5,-144.5,305.0,1,455650.91,358444.61,203,431.8
PZ98,156.5,-46.5,203.0,1,433068.61,348757.3,358,566.0
PZ99,126.5,-178.5,305.0,1,451190.5,354890.43,161,418.5
PZ12,,,,0,437590.83,358259.51,446,511.0
PZ15,,,,0,438317.25,360351.27,458,419.0
PZ49,,,,0,438026.22,359028.47,451,504.0
PZ69,,,,0,434184.64,347319.08,361,290.9
PZ90,,,,0,442917.33,365362.55,381,415.8
PZ104,,,,0,435629.57,359044.94,442,520.0
PZ106,,,,0,436174.7,346204.02,392,348.0
PZ107,,,,0,417433.21,344157.7,329,167.7
PZ108,,,,0,431067.03,344257.73,314,321.0
PZ109,,,,0,419512.41,340309.46,263,211.2
