Drillhole,depth_at_HW,depth_at_fw,ss_thickness,ss_encountered,X,Y,Z_g_earth,Longueur
PZ68,109.0,226.0,117.0,1,426896.02,352016.3,358,261.4
PZ7,210.0,717.0,507.0,1,439450.0,355450.0,468,799.94
PZ70,220.0,658.0,438.0,1,442632.27,360350.19,401,733.0
PZ71,151.0,653.0,502.0,1,444584.21,359840.25,447,733.0
PZ72,258.0,733.0,475.0,1,444357.8,358257.08,472,811.0
PZ73,169.0,741.0,572.0,1,445120.93,356421.08,423,808.0
PZ74,261.0,775.0,514.0,1,447128.34,360323.05,425,852.8
PZ75,122.0,707.0,585.0,1,445295.3,354703.04,333,761.8
PZ76,180.0,886.0,706.0,1,443724.6,354928.5,464,976.4
PZ77,59.0,489.0,430.0,1,448196.59,358442.44,245,576.0
PZ78,47.0,551.0,504.0,1,449605.75,359816.54,214,636.2
PZ79,141.0,776.0,635.0,1,448737.26,361396.42,379,835.7
PZ8,190.0,735.0,545.0,1,440530.0,356100.0,472,825.45
PZ80,250.0,858.0,608.0,1,453522.39,359761.69,254,937.2
PZ81,27.0,606.0,579.0,1,451433.3,359985.77,145,661.2
PZ82,30.0,341.0,311.0,1,450806.07,358430.83,153,524.9
PZ83,158.0,697.0,539.0,1,447757.01,362892.08,301,758.0
PZ84,56.0,404.0,348.0,1,453835.56,355508.69,218,486.3
PZ85,242.0,708.0,466.0,1,446026.84,361827.98,367,786.2
PZ86,95.0,319.0,224.0,1,452176.66,354389.93,169,401.0
PZ87,156.0,804.0,648.0,1,449282.62,364134.95,230,872.2
PZ88,246.0,690.0,444.0,1,452745.65,356416.05,193,777.0
PZ89,283.0,481.0,198.0,1,440444.62,356197.0,469,777.0
PZ9,230.0,735.0,505.0,1,438400.0,354750.0,462,825.65
PZ91,241.0,677.0,436.0,1,448238.03,365732.36,266,740.4
PZ92,141.0,713.0,572.0,1,442708.99,352843.08,343,802.8
PZ93,176.0,813.0,637.0,1,450054.59,362677.75,320,887.4
PZ94,185.0,729.0,544.0,1,450054.59,367156.41,169,813.6
PZ95,81.0,804.0,723.0,1,451511.02,362920.65,162,854.2
PZ96,158.0,669.0,511.0,1,434819.75,353180.36,456,765.0
PZ97,42.0,348.0,306.0,1,455650.91,358444.61,203,431.8
PZ98,201.0,405.0,204.0,1,433068.61,348757.3,358,566.0
PZ99,34.0,340.0,306.0,1,451190.5,354890.43,161,418.5
PZ12,,,,0,437590.83,358259.51,446,511.0
PZ15,,,,0,438317.25,360351.27,458,419.0
PZ49,,,,0,438026.22,359028.47,451,504.0
PZ69,,,,0,434184.64,347319.08,361,290.9
PZ90,,,,0,442917.33,365362.55,381,415.8
PZ104,,,,0,435629.57,359044.94,442,520.0
PZ106,,,,0,436174.7,346204.02,392,348.0
PZ107,,,,0,417433.21,344157.7,329,167.7
PZ108,,,,0,431067.03,344257.73,314,321.0
PZ109,,,,0,419512.41,340309.46,263,211.2
