k,R2_HW,RMSE_HW,MAE_HW,R2_FW,RMSE_FW,MAE_FW,epochs,RMSE_combined
4.0,0.6905,43.1887,30.2388,0.888,54.881,37.6035,57.8,98.0697
6.0,0.7168,42.8289,29.8942,0.882,56.4355,41.219,40.4,99.2644
8.0,0.7137,42.1867,28.2531,0.8977,51.7446,37.5887,52.2,93.9313
10.0,0.7416,39.4338,27.8799,0.9051,49.8019,36.6495,54.6,89.23570000000001
12.0,0.7232,41.2254,29.3936,0.8998,51.5918,37.4868,52.2,92.8172
16.0,0.7365,40.3705,27.0737,0.8899,54.0098,37.5979,52.4,94.3803
